prctC1,nTrials,nTrialsC1,Condition,Phase,SpatialD,SpatialD_abs,SubjI,subjN
0.05,20,1,congruent,pre,-24,24,PW,1
0.3,40,12,congruent,pre,-16,16,PW,1
0.7,60,42,congruent,pre,-8,8,PW,1
0.925,80,74,congruent,pre,0,0,PW,1
0.983333333333333,60,59,congruent,pre,8,8,PW,1
0.825,40,33,congruent,pre,16,16,PW,1
0.7,20,14,congruent,pre,24,24,PW,1
0.2,20,4,congruent,post,-24,24,PW,1
0.55,40,22,congruent,post,-16,16,PW,1
0.833333333333333,60,50,congruent,post,-8,8,PW,1
1,80,80,congruent,post,0,0,PW,1
0.983333333333333,60,59,congruent,post,8,8,PW,1
0.95,40,38,congruent,post,16,16,PW,1
1,20,20,congruent,post,24,24,PW,1
0.05,20,1,incongruent,pre,-24,24,PW,1
0.125,40,5,incongruent,pre,-16,16,PW,1
0.6,60,36,incongruent,pre,-8,8,PW,1
1,80,80,incongruent,pre,0,0,PW,1
1,60,60,incongruent,pre,8,8,PW,1
0.55,40,22,incongruent,pre,16,16,PW,1
0.35,20,7,incongruent,pre,24,24,PW,1
0.05,20,1,incongruent,post,-24,24,PW,1
0.3,40,12,incongruent,post,-16,16,PW,1
0.866666666666667,60,52,incongruent,post,-8,8,PW,1
1,80,80,incongruent,post,0,0,PW,1
1,60,60,incongruent,post,8,8,PW,1
0.775,40,31,incongruent,post,16,16,PW,1
0.9,20,18,incongruent,post,24,24,PW,1
0,20,0,congruent,pre,-24,24,SW,2
0.1,40,4,congruent,pre,-16,16,SW,2
0.416666666666667,60,25,congruent,pre,-8,8,SW,2
0.825,80,66,congruent,pre,0,0,SW,2
0.466666666666667,60,28,congruent,pre,8,8,SW,2
0.025,40,1,congruent,pre,16,16,SW,2
0,20,0,congruent,pre,24,24,SW,2
0.05,20,1,congruent,post,-24,24,SW,2
0,40,0,congruent,post,-16,16,SW,2
0.45,60,27,congruent,post,-8,8,SW,2
0.85,80,68,congruent,post,0,0,SW,2
0.416666666666667,60,25,congruent,post,8,8,SW,2
0.05,40,2,congruent,post,16,16,SW,2
0,20,0,congruent,post,24,24,SW,2
0,20,0,incongruent,pre,-24,24,SW,2
0.05,40,2,incongruent,pre,-16,16,SW,2
0.5,60,30,incongruent,pre,-8,8,SW,2
0.95,80,76,incongruent,pre,0,0,SW,2
0.583333333333333,60,35,incongruent,pre,8,8,SW,2
0.05,40,2,incongruent,pre,16,16,SW,2
0.05,20,1,incongruent,pre,24,24,SW,2
0,20,0,incongruent,post,-24,24,SW,2
0.025,40,1,incongruent,post,-16,16,SW,2
0.5,60,30,incongruent,post,-8,8,SW,2
0.875,80,70,incongruent,post,0,0,SW,2
0.5,60,30,incongruent,post,8,8,SW,2
0,40,0,incongruent,post,16,16,SW,2
0,20,0,incongruent,post,24,24,SW,2
0.05,20,1,congruent,pre,-24,24,HL,3
0.15,40,6,congruent,pre,-16,16,HL,3
0.566666666666667,60,34,congruent,pre,-8,8,HL,3
0.9125,80,73,congruent,pre,0,0,HL,3
0.583333333333333,60,35,congruent,pre,8,8,HL,3
0.05,40,2,congruent,pre,16,16,HL,3
0,20,0,congruent,pre,24,24,HL,3
0.05,20,1,congruent,post,-24,24,HL,3
0.025,40,1,congruent,post,-16,16,HL,3
0.483333333333333,60,29,congruent,post,-8,8,HL,3
0.8875,80,71,congruent,post,0,0,HL,3
0.666666666666667,60,40,congruent,post,8,8,HL,3
0.025,40,1,congruent,post,16,16,HL,3
0,20,0,congruent,post,24,24,HL,3
0.05,20,1,incongruent,pre,-24,24,HL,3
0.075,40,3,incongruent,pre,-16,16,HL,3
0.533333333333333,60,32,incongruent,pre,-8,8,HL,3
0.9375,80,75,incongruent,pre,0,0,HL,3
0.8,60,48,incongruent,pre,8,8,HL,3
0.25,40,10,incongruent,pre,16,16,HL,3
0.15,20,3,incongruent,pre,24,24,HL,3
0,20,0,incongruent,post,-24,24,HL,3
0.2,40,8,incongruent,post,-16,16,HL,3
0.633333333333333,60,38,incongruent,post,-8,8,HL,3
0.9,80,72,incongruent,post,0,0,HL,3
0.4,60,24,incongruent,post,8,8,HL,3
0.075,40,3,incongruent,post,16,16,HL,3
0.05,20,1,incongruent,post,24,24,HL,3
0,20,0,congruent,pre,-24,24,YZ,4
0.25,40,10,congruent,pre,-16,16,YZ,4
0.516666666666667,60,31,congruent,pre,-8,8,YZ,4
0.9875,80,79,congruent,pre,0,0,YZ,4
0.716666666666667,60,43,congruent,pre,8,8,YZ,4
0.175,40,7,congruent,pre,16,16,YZ,4
0.05,20,1,congruent,pre,24,24,YZ,4
0.05,20,1,congruent,post,-24,24,YZ,4
0.175,40,7,congruent,post,-16,16,YZ,4
0.633333333333333,60,38,congruent,post,-8,8,YZ,4
0.975,80,78,congruent,post,0,0,YZ,4
0.633333333333333,60,38,congruent,post,8,8,YZ,4
0.05,40,2,congruent,post,16,16,YZ,4
0,20,0,congruent,post,24,24,YZ,4
0.1,20,2,incongruent,pre,-24,24,YZ,4
0.45,40,18,incongruent,pre,-16,16,YZ,4
0.766666666666667,60,46,incongruent,pre,-8,8,YZ,4
0.9875,80,79,incongruent,pre,0,0,YZ,4
0.816666666666667,60,49,incongruent,pre,8,8,YZ,4
0.225,40,9,incongruent,pre,16,16,YZ,4
0.15,20,3,incongruent,pre,24,24,YZ,4
0.05,20,1,incongruent,post,-24,24,YZ,4
0.575,40,23,incongruent,post,-16,16,YZ,4
0.883333333333333,60,53,incongruent,post,-8,8,YZ,4
0.9875,80,79,incongruent,post,0,0,YZ,4
1,60,60,incongruent,post,8,8,YZ,4
0.825,40,33,incongruent,post,16,16,YZ,4
0.3,20,6,incongruent,post,24,24,YZ,4
0.05,20,1,congruent,pre,-24,24,NH,5
0.35,40,14,congruent,pre,-16,16,NH,5
0.65,60,39,congruent,pre,-8,8,NH,5
0.8875,80,71,congruent,pre,0,0,NH,5
0.783333333333333,60,47,congruent,pre,8,8,NH,5
0.45,40,18,congruent,pre,16,16,NH,5
0.05,20,1,congruent,pre,24,24,NH,5
0.2,20,4,congruent,post,-24,24,NH,5
0.4,40,16,congruent,post,-16,16,NH,5
0.733333333333333,60,44,congruent,post,-8,8,NH,5
0.9,80,72,congruent,post,0,0,NH,5
0.7,60,42,congruent,post,8,8,NH,5
0.45,40,18,congruent,post,16,16,NH,5
0.2,20,4,congruent,post,24,24,NH,5
0.05,20,1,incongruent,pre,-24,24,NH,5
0.475,40,19,incongruent,pre,-16,16,NH,5
0.75,60,45,incongruent,pre,-8,8,NH,5
0.925,80,74,incongruent,pre,0,0,NH,5
0.75,60,45,incongruent,pre,8,8,NH,5
0.475,40,19,incongruent,pre,16,16,NH,5
0.1,20,2,incongruent,pre,24,24,NH,5
0,20,0,incongruent,post,-24,24,NH,5
0.3,40,12,incongruent,post,-16,16,NH,5
0.816666666666667,60,49,incongruent,post,-8,8,NH,5
0.8625,80,69,incongruent,post,0,0,NH,5
0.6,60,36,incongruent,post,8,8,NH,5
0.325,40,13,incongruent,post,16,16,NH,5
0,20,0,incongruent,post,24,24,NH,5
0,20,0,congruent,pre,-24,24,ZZ,6
0.05,40,2,congruent,pre,-16,16,ZZ,6
0.483333333333333,60,29,congruent,pre,-8,8,ZZ,6
0.85,80,68,congruent,pre,0,0,ZZ,6
0.2,60,12,congruent,pre,8,8,ZZ,6
0,40,0,congruent,pre,16,16,ZZ,6
0.05,20,1,congruent,pre,24,24,ZZ,6
0.05,20,1,congruent,post,-24,24,ZZ,6
0.3,40,12,congruent,post,-16,16,ZZ,6
0.583333333333333,60,35,congruent,post,-8,8,ZZ,6
0.95,80,76,congruent,post,0,0,ZZ,6
0.65,60,39,congruent,post,8,8,ZZ,6
0.175,40,7,congruent,post,16,16,ZZ,6
0.15,20,3,congruent,post,24,24,ZZ,6
0.1,20,2,incongruent,pre,-24,24,ZZ,6
0.05,40,2,incongruent,pre,-16,16,ZZ,6
0.383333333333333,60,23,incongruent,pre,-8,8,ZZ,6
0.95,80,76,incongruent,pre,0,0,ZZ,6
0.6,60,36,incongruent,pre,8,8,ZZ,6
0.025,40,1,incongruent,pre,16,16,ZZ,6
0.05,20,1,incongruent,pre,24,24,ZZ,6
0,20,0,incongruent,post,-24,24,ZZ,6
0.025,40,1,incongruent,post,-16,16,ZZ,6
0.416666666666667,60,25,incongruent,post,-8,8,ZZ,6
0.9375,80,75,incongruent,post,0,0,ZZ,6
0.5,60,30,incongruent,post,8,8,ZZ,6
0,40,0,incongruent,post,16,16,ZZ,6
0,20,0,incongruent,post,24,24,ZZ,6
0.05,20,1,congruent,pre,-24,24,BB,7
0.325,40,13,congruent,pre,-16,16,BB,7
0.933333333333333,60,56,congruent,pre,-8,8,BB,7
0.9625,80,77,congruent,pre,0,0,BB,7
0.816666666666667,60,49,congruent,pre,8,8,BB,7
0.6,40,24,congruent,pre,16,16,BB,7
0.2,20,4,congruent,pre,24,24,BB,7
0.05,20,1,congruent,post,-24,24,BB,7
0.375,40,15,congruent,post,-16,16,BB,7
0.783333333333333,60,47,congruent,post,-8,8,BB,7
0.95,80,76,congruent,post,0,0,BB,7
0.883333333333333,60,53,congruent,post,8,8,BB,7
0.45,40,18,congruent,post,16,16,BB,7
0.2,20,4,congruent,post,24,24,BB,7
0.1,20,2,incongruent,pre,-24,24,BB,7
0.175,40,7,incongruent,pre,-16,16,BB,7
0.666666666666667,60,40,incongruent,pre,-8,8,BB,7
0.9125,80,73,incongruent,pre,0,0,BB,7
0.65,60,39,incongruent,pre,8,8,BB,7
0.225,40,9,incongruent,pre,16,16,BB,7
0,20,0,incongruent,pre,24,24,BB,7
0.05,20,1,incongruent,post,-24,24,BB,7
0.575,40,23,incongruent,post,-16,16,BB,7
0.983333333333333,60,59,incongruent,post,-8,8,BB,7
1,80,80,incongruent,post,0,0,BB,7
0.933333333333333,60,56,incongruent,post,8,8,BB,7
0.675,40,27,incongruent,post,16,16,BB,7
0.35,20,7,incongruent,post,24,24,BB,7
0,20,0,congruent,pre,-24,24,ZY,8
0.45,40,18,congruent,pre,-16,16,ZY,8
0.733333333333333,60,44,congruent,pre,-8,8,ZY,8
0.925,80,74,congruent,pre,0,0,ZY,8
0.533333333333333,60,32,congruent,pre,8,8,ZY,8
0.15,40,6,congruent,pre,16,16,ZY,8
0,20,0,congruent,pre,24,24,ZY,8
0,20,0,congruent,post,-24,24,ZY,8
0.35,40,14,congruent,post,-16,16,ZY,8
0.6,60,36,congruent,post,-8,8,ZY,8
0.7625,80,61,congruent,post,0,0,ZY,8
